backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count,Casting,Crew,genres,last_air_date,number_of_episodes,number_of_seasons,status
/uxhvVb4csoDJzv3LZKWstwIU2Rp.jpg,2001-04-21,[35],3796,Trailer Park Boys,['CA'],en,Trailer Park Boys,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,15.907,/tGT11gDduswClJy8lquQVfTGnnt.jpg,7.9,131,Robb Wells;John Paul Tremblay;Mike Smith;John Dunsworth;Patrick Roach,,Comedy,2018-03-30,105,12,Ended
/z8yglSj7irUPyBTjAyVQUNc2hmH.jpg,2019-09-26,[18],86848,Evil,['US'],en,Evil,"Skeptical female clinical psychologist Kristen Benoist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possessions, and other extraordinary occurrences to see if there’s a scientific explanation or if something truly supernatural is at work.",24.624,/nYPQ0FWeixe0FwmSQzRg00g9SVR.jpg,7.9,234,Katja Herbers;Mike Colter;Aasif Mandvi;Michael Emerson;Brooklyn Shuck;Skylar Gray;Maddy Crocco;Dalya Knapp;Kurt Fuller;Christine Lahti;Marti Matulis,,Drama,2020-01-30,13,1,Returning Series
/5s9XHTB9SLPdg3mNU6BlSLnZ9Qq.jpg,2011-01-09,"[18, 35]",34307,Shameless,['US'],en,Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",81.521,/9akij7PqZ1g6zl42DQQTtL9CTSb.jpg,7.9,1178,William H. Macy;Jeremy Allen White;Cameron Monaghan;Noel Fisher;Emma Kenney;Ethan Cutkosky;Emmy Rossum;Christian Isaiah;Shanola Hampton;Steve Howey;Kate Miner;Paris Newton;Scott Michael Campbell;Elise Eberle;Dennis Cockrum,,Drama;Comedy,2021-02-14,132,11,Returning Series
/fzWcuKTNo4QjSAPWKegtsYqCXyc.jpg,2020-04-26,[18],89905,Normal People,['IE'],en,Normal People,"Marianne and Connell weave in and out of each other’s lives in this exploration of sex, power and the desire to love and be loved. Adaptation of Sally Rooney’s best-selling novel.",58.862,/tbKSsFd4ImzUgbYolttkq4pmOPQ.jpg,7.9,466,Daisy Edgar-Jones;Paul Mescal,,Drama,2020-04-26,12,1,Ended
/b5lKppEquuQWm6fTjGcu2g8FJgs.jpg,2020-05-18,"[10765, 10759, 18, 80]",80986,Stargirl,['US'],en,Stargirl,"Courtney Whitmore, a smart, athletic and above all else kind girl, discovers her step-father has a secret: he used to be the sidekick to a superhero. ""Borrowing"" the long-lost hero’s cosmic staff, she becomes the unlikely inspiration for an entirely new generation of superheroes.",41.994,/sWSGc3Bb7aCTOPvAIkkhqI7ae9H.jpg,7.9,685,Brec Bassinger;Luke Wilson;Amy Smart;Yvette Monreal;Anjelika Washington;Trae Romano;Cameron Gellman;Meg DeLacy;Neil Jackson,,Sci-Fi & Fantasy;Action & Adventure;Drama;Crime,2020-08-10,13,2,Returning Series
/tZmlWeFEMvxrjJhBJJcLNXpSRiG.jpg,2016-09-19,"[10765, 35]",66573,The Good Place,['US'],en,The Good Place,"Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the afterlife where she comes to realize that she hasn't been a very good person. With the help of her wise afterlife mentor, she's determined to shed her old way of living and discover the awesome (or at least the pretty good) person within.",28.134,/eFV0O3u0CbVdhEYIozea4iZRn3O.jpg,7.9,615,Kristen Bell;Ted Danson;William Jackson Harper;Jameela Jamil;Manny Jacinto;D'Arcy Carden,,Sci-Fi & Fantasy;Comedy,2020-01-30,50,4,Ended
/3SRRTYjmnagDf5cehYjCZQQNXYN.jpg,2013-09-24,[35],49009,The Goldbergs,['US'],en,The Goldbergs,"Before there were parenting blogs, trophies for showing up, and peanut allergies, there was a simpler time called the '80s. For geeky 11-year old Adam these were his wonder years and he faced them armed with a video camera to capture all the crazy. The Goldbergs are a loving family like any other, just with a lot more yelling.",31.908,/sRO9x6lURw23gZaV2rbtcNYssE.jpg,7.9,197,Jeff Garlin;Wendi McLendon-Covey;Hayley Orrantia;George Segal;Sean Giambrone;Troy Gentile,,Comedy,2021-02-17,175,8,Returning Series
/siFvior0Tz1vJvOyqQnAdM9VOlV.jpg,2010-06-08,"[18, 9648]",31917,Pretty Little Liars,['US'],en,Pretty Little Liars,"Based on the Pretty Little Liars series of young adult novels by Sara Shepard, the series follows the lives of four girls — Spencer, Hanna, Aria, and Emily — whose clique falls apart after the disappearance of their queen bee, Alison. One year later, they begin receiving messages from someone using the name ""A"" who threatens to expose their secrets — including long-hidden ones they thought only Alison knew.",98.722,/aUPbHiLS3hCHKjtLsncFa9g0viV.jpg,7.9,1680,Troian Bellisario;Ashley Benson;Lucy Hale;Shay Mitchell;Sasha Pieterse;Tyler Blackburn;Ian Harding;Janel Parrish;Andrea Parker,,Drama;Mystery,2017-06-27,161,7,Ended
/r54UMcnen0Egd1z1B2VKSrN6or8.jpg,2009-03-08,"[18, 80]",1419,Castle,['US'],en,Castle,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",102.98,/diXBeMzvfJb2iJg3G0kCUaMCzEc.jpg,7.9,1033,Nathan Fillion;Stana Katic;Jon Huertas;Seamus Dever;Susan Sullivan;Tamala Jones;Molly C. Quinn;Toks Olagundoye,,Drama;Crime,2016-05-16,173,8,Canceled
/sLbbYQpGbVAli2PLaUwG634XbLM.jpg,1955-10-02,"[9648, 18]",5273,Alfred Hitchcock Presents,['US'],en,Alfred Hitchcock Presents,"A television anthology series hosted by Alfred Hitchcock. The series features dramas, thrillers, and mysteries.",24.572,/sHzG8lDfn5wKiieBsh0Qg5DXWNQ.jpg,7.9,114,,,Mystery;Drama,1962-07-03,268,7,Ended
/8XQ2QhuCbBZwDQWDnDZABmehS5u.jpg,2020-10-09,"[9648, 18]",109958,The Haunting of Bly Manor,['US'],en,The Haunting of Bly Manor,"After an au pair’s tragic death, Henry Wingrave hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the estate’s chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose. But all is not as it seems at the manor, and centuries of dark secrets of love and loss are waiting to be unearthed in this chilling romance. At Bly Manor, dead doesn’t mean gone.",54.616,/vIXQ8UymmQ7zJEPrKJP3s3fSbhR.jpg,7.9,388,Victoria Pedretti;Oliver Jackson-Cohen;Henry Thomas;Amelia Eve;T'Nia Miller;Rahul Kohli;Tahirah Sharif;Amelie Bea Smith;Benjamin Evan Ainsworth;Carla Gugino,Aimee Scott;Kristina Thomas,Mystery;Drama,2020-10-09,9,1,Ended
/oX18NYGrQQze5NC9Sxhvapq5JiD.jpg,2019-07-08,[16],88061,"Hensuki: Are You Willing to Fall in Love With a Pervert, As Long As She's a Cutie?",['JP'],ja,可愛ければ変態でも好きになってくれますか？,"A high school student whose year of not having a girlfriend is his age, Keiki Kiryuu, suddenly received a love letter. He is happy he can finally have a girlfriend, but is also surprised because not only there is no sender name but also includes a white underwear…??? The cute girls who gather around him are all weird and with reasons!? Who is the Cinderella who sent the underwear? The mystery called out mystery, even hentai was called out. A new feeling of love comedy that calls out hentei begins……!!",11.265,/qH5G6K09CWWgmiP3JCZK7UAkotW.jpg,7.9,321,Hiro Shimono;Ayana Taketatsu;Rina Hidaka;Iori Nomizu;Kaede Hondo;Ayaka Ohashi;Anzu Haruno;Keisuke Koumoto;Suzuko Mimori,Kenichi Yamashita;Itsuki Imazaki,Animation,2019-09-23,12,1,Ended
